Forecast,yeardiff,qdiff,qnum,Year,Forecast Year,Forecast Quarter,Visitors,US Visitors,JP Visitors,Payroll Jobs,Employment,Unemployment Rate,Inflation,Real Personal Income,Other Visitors,Real GDP
09Q1,-2,-11,1,2011,2009,Q1,2.357,2.177,-0.771,0.509,0.466,7.155,1.563,1.235,5.977,
08Q4,1,4,4,2007,2008,Q4,-0.416,-0.523,-4.876,1.066,0.048,2.65,4.85,1.002,6.273,
08Q4,0,0,4,2008,2008,Q4,-10.774,-14.235,-9.784,-0.036,0.363,3.941,4.542,-0.224,4.9,
08Q4,-1,-4,4,2009,2008,Q4,-5.732,-7.573,-8.669,-1.412,-2.177,5.796,2.529,-0.717,4.724,
08Q4,-2,-8,4,2010,2008,Q4,6.616,8.436,-2.235,0.417,-0.009,5.925,1.925,1.775,8.367,
08Q4,-3,-12,4,2011,2008,Q4,5.683,6.825,0.195,1.187,1.219,5.431,1.81,2.571,6.224,
08Q3,1,3,3,2007,2008,Q3,-0.416,-0.523,-4.876,1.066,0.048,2.65,4.85,1.294,6.273,
08Q3,0,-1,3,2008,2008,Q3,-9.062,-12.064,-7.615,-0.062,-0.484,3.693,4.784,0.129,3.814,
08Q3,-1,-5,3,2009,2008,Q3,-1.163,-1.395,-5.842,-0.768,-1.122,4.379,2.864,0.062,4.918,
08Q3,-2,-9,3,2010,2008,Q3,4.972,5.937,0.372,0.756,0.48,4.357,2.214,1.989,5.738,
08Q3,-3,-13,3,2011,2008,Q3,3.902,4.807,-0.291,1.436,1.438,4.158,3.051,2.448,4.288,
08Q2,2,6,2,2006,2008,Q2,0.603,3.287,-10.197,2.569,2.198,2.475,5.839,1.004,,
08Q2,1,2,2,2007,2008,Q2,-1.25,-1.149,-3.529,1.066,0.048,2.65,4.85,1.459,,
08Q2,0,-2,2,2008,2008,Q2,-4.622,-7.079,-7.975,-0.165,-0.585,3.712,5.045,-0.075,,
08Q2,-1,-6,2,2009,2008,Q2,1.349,0.732,-0.242,-0.179,-0.536,4.205,2.191,0.353,,
08Q2,-2,-10,2,2010,2008,Q2,2.149,1.929,1.51,1.132,0.853,4.14,1.962,2.17,,
08Q1,2,5,1,2006,2008,Q1,0.603,3.287,-10.197,2.569,2.198,2.475,5.839,0.89,,
08Q1,1,1,1,2007,2008,Q1,-1.25,-1.149,-3.529,1.066,0.048,2.65,4.85,1.303,,
08Q1,0,-3,1,2008,2008,Q1,-1.911,-2.224,-3.319,0.066,-0.377,3.494,4.263,0.284,,
08Q1,-1,-7,1,2009,2008,Q1,-0.094,-1.181,0.875,0.714,0.216,3.889,2.487,0.862,,
08Q1,-2,-11,1,2010,2008,Q1,1.789,0.931,1.779,1.154,0.843,3.859,2.349,2.095,,
07Q4,2,8,4,2005,2007,Q4,7.299,8.493,2.385,3.127,2.871,2.7,3.805,3.985,,
07Q4,1,4,4,2006,2007,Q4,0.603,3.287,-10.197,2.46,2.277,2.358,5.839,0.89,,
07Q4,0,0,4,2007,2007,Q4,-1.097,-0.808,-3.358,2.078,0.901,2.492,4.954,1.644,,
07Q4,-1,-4,4,2008,2007,Q4,0.309,-0.223,-0.61,1.642,0.404,2.827,3.756,1.923,,
07Q4,-2,-8,4,2009,2007,Q4,1.055,0.849,0.922,1.169,0.861,3.01,3.107,2.187,,
07Q3,2,7,3,2005,2007,Q3,7.299,8.493,2.385,3.127,2.871,2.7,3.805,3.985,,
07Q3,1,3,3,2006,2007,Q3,0.603,3.287,-10.197,2.46,2.277,2.358,5.839,0.89,,
07Q3,0,-1,3,2007,2007,Q3,-1.432,-0.909,-2.49,1.996,1.737,2.506,4.752,1.921,,
07Q3,-1,-5,3,2008,2007,Q3,0.473,0.108,-0.9,1.673,1.582,2.772,3.665,2.231,,
07Q3,-2,-9,3,2009,2007,Q3,1.434,1.262,0.981,1.279,0.994,2.977,3.025,2.079,,
07Q2,2,6,2,2005,2007,Q2,7.299,8.493,2.385,3.127,2.871,2.7,3.805,2.871,,
07Q2,1,2,2,2006,2007,Q2,-0.003,2.311,-9.309,2.46,2.277,2.358,5.839,0.394,,
07Q2,0,-2,2,2007,2007,Q2,-0.17,0.864,-3.616,1.928,1.726,2.38,4.807,1.425,,
07Q2,-1,-6,2,2008,2007,Q2,1.553,1.194,1.128,1.364,1.279,2.647,3.765,1.957,,
07Q2,-2,-10,2,2009,2007,Q2,1.553,1.439,1.133,1.157,1.136,2.959,3.32,1.785,,
07Q1,2,5,1,2005,2007,Q1,7.299,8.493,2.385,3.22,3,2.792,3.805,2.878,,
07Q1,1,1,1,2006,2007,Q1,-0.003,2.311,-9.309,2.693,2.93,2.592,5.839,0.181,,
07Q1,0,-3,1,2007,2007,Q1,0.767,1.262,-2.955,1.646,2.101,2.644,4.847,1.802,,
07Q1,-1,-7,1,2008,2007,Q1,1.377,1.212,1.292,1.189,1.344,2.806,3.793,2.174,,
07Q1,-2,-11,1,2009,2007,Q1,1.771,1.503,1.802,1.023,1.046,3.125,3.448,2.078,,
06Q4,2,8,4,2004,2006,Q4,8.333,7.275,10.601,2.775,1.38,3.267,3.307,5.43,,
06Q4,1,4,4,2005,2006,Q4,7.299,8.493,2.385,3.22,3,2.792,3.805,2.842,,
06Q4,0,0,4,2006,2006,Q4,0.449,2.375,-8.554,2.632,2.648,2.715,5.125,1.114,,
06Q4,-1,-4,4,2007,2006,Q4,1.952,1.265,0.237,1.501,1.502,2.893,4.405,1.775,,
06Q4,-2,-8,4,2008,2006,Q4,1.558,0.972,2.588,1.173,1.148,3.062,3.444,1.783,,
06Q3,2,7,3,2004,2006,Q3,8.333,7.275,10.601,2.775,1.38,3.267,3.307,4.564,,
06Q3,1,3,3,2005,2006,Q3,6.381,6.988,2.717,3.22,3,2.792,3.805,3.029,,
06Q3,0,-1,3,2006,2006,Q3,1.52,2.874,-7.419,2.472,2.061,2.843,5.175,0.996,,
06Q3,-1,-5,3,2007,2006,Q3,2.395,1.711,2.333,1.215,1.114,3.058,4.212,2.034,,
06Q3,-2,-9,3,2008,2006,Q3,1.495,1.187,1.377,1.147,1.166,3.237,3.186,2.032,,
06Q2,2,6,2,2004,2006,Q2,8.333,7.275,10.601,2.775,1.38,3.267,3.307,4.564,,
06Q2,1,2,2,2005,2006,Q2,6.381,6.988,2.717,3.22,3,2.792,3.805,3.057,,
06Q2,0,-2,2,2006,2006,Q2,2.753,3.124,0.503,2.496,2.506,2.515,3.817,3.044,,
06Q2,-1,-6,2,2007,2006,Q2,1.958,1.845,1.534,1.324,1.59,2.424,3.166,2.154,,
06Q2,-2,-10,2,2008,2006,Q2,1.375,1.336,0.498,1.164,1.425,2.463,3.044,1.958,,
06Q1,2,5,1,2004,2006,Q1,8.333,7.275,10.601,2.623,1.212,3.267,3.307,4.542,,
06Q1,1,1,1,2005,2006,Q1,6.764,6.988,2.717,2.78,3.666,2.767,3.655,3.678,,
06Q1,0,-3,1,2006,2006,Q1,3.448,3.897,2.402,2.061,2.98,2.576,3.833,3.167,,
06Q1,-1,-7,1,2007,2006,Q1,1.498,1.342,1.01,1.393,1.161,2.529,3.312,2.412,,
06Q1,-2,-11,1,2008,2006,Q1,1.578,1.447,1.145,1.255,1.301,2.678,3.247,2.196,,
05Q4,2,8,4,2003,2005,Q4,-0.135,4.761,-9.648,1.946,0.785,3.892,2.33,2.435,,
05Q4,1,4,4,2004,2005,Q4,8.333,7.275,10.601,2.623,1.212,3.267,3.307,4.531,,
05Q4,0,0,4,2005,2005,Q4,6.731,6.925,3.369,2.728,3.389,2.741,3.665,4.256,,
05Q4,-1,-4,4,2006,2005,Q4,2.402,2.486,2.67,1.816,2.229,2.682,3.9,2.72,,
05Q4,-2,-8,4,2007,2005,Q4,1.466,1,2.365,1.289,1.175,2.944,3.37,2.487,,
05Q3,2,7,3,2003,2005,Q3,-0.135,4.761,-9.648,1.946,0.785,3.892,2.33,1.821,,
05Q3,1,3,3,2004,2005,Q3,8.333,7.275,10.601,2.623,1.212,3.267,3.307,3.553,,
05Q3,0,-1,3,2005,2005,Q3,6.393,5.627,6.569,2.309,2.575,2.764,3.395,3.62,,
05Q3,-1,-5,3,2006,2005,Q3,1.233,0.755,2.93,1.552,1.477,2.763,3.769,2.669,,
05Q3,-2,-9,3,2007,2005,Q3,1.234,0.72,2.25,1.273,1.24,2.989,3.504,2.209,,
05Q2,2,6,2,2003,2005,Q2,-0.13,4.76,-9.65,1.95,0.78,3.89,2.33,1.82,,
05Q2,1,2,2,2004,2005,Q2,8.27,6.45,10.27,2.62,1.21,3.27,3.31,3.41,,
05Q2,0,-2,2,2005,2005,Q2,6.74,6.38,8.39,2.15,2.15,2.79,4.02,2.99,,
05Q2,-1,-6,2,2006,2005,Q2,1.5,0.85,3.6,1.63,1.4,2.82,3.6,2.32,,
05Q2,-2,-10,2,2007,2005,Q2,1.3,0.75,2.47,1.55,1.47,2.96,3.48,2.5,,
05Q1,2,5,1,2003,2005,Q1,-0.135246389,4.761037678,-9.647702141,1.946,0.785,3.892,2.33,2.268,,
05Q1,1,1,1,2004,2005,Q1,8.024776979,6.451814931,10.26616509,2.623,1.212,3.267,3.307,2.781,,
05Q1,0,-3,1,2005,2005,Q1,4.94,3.951,8.048,2.032,1.595,3.232,3.784,2.719,,
05Q1,-1,-7,1,2006,2005,Q1,1.583,1.022,3.168,1.487,1.76,3.247,3.596,2.616,,
05Q1,-2,-11,1,2007,2005,Q1,1.625,1.052,2.795,1.261,1.025,3.463,3.469,2.283,,
04Q4,3,12,4,2001,2004,Q4,-9.3,-4.5,-15.9,0.7,2.2,4.6,1.2,0.5,,
04Q4,2,8,4,2002,2004,Q4,1.4,2.8,-3,0.3,-1.8,4.2,1,3.8,,
04Q4,1,4,4,2003,2004,Q4,-0.7,2.9,-10.7,1.9,1.9,4.3,2.3,2.3,,
04Q4,0,0,4,2004,2004,Q4,7.9,7.8,12.9,2.2,2.9,3.3,3.5,2.5,,
04Q4,-1,-4,4,2005,2004,Q4,3.6,3,6.5,1.8,1.8,3.2,3.8,2.5,,
04Q3,3,11,3,2001,2004,Q3,-9.3,-4.5,-15.9,0.7,2.2,4.6,1.2,0.8,,
04Q3,2,7,3,2002,2004,Q3,1.4,2.8,-3,0.3,-1.8,4.2,1,4.4,,
04Q3,1,3,3,2003,2004,Q3,-0.7,2.9,-10.7,1.9,1.9,4.3,2.3,2.6,,
04Q3,0,-1,3,2004,2004,Q3,7.7,6.6,13.9,2.1,3.1,3.3,3.4,2.3,,
04Q3,-1,-5,3,2005,2004,Q3,3.7,1.7,9.2,1.8,2,3.2,3.4,3.4,,
04Q2,3,10,2,2001,2004,Q2,-9.3,,,0.7,,,1.2,0.8,,
04Q2,2,6,2,2002,2004,Q2,1.4,,,0.3,,,1,4.4,,
04Q2,1,2,2,2003,2004,Q2,-0.6,,,1.9,,,2.3,2.5,,
04Q2,0,-2,2,2004,2004,Q2,6.3,,,1.9,,,3.2,2.8,,
04Q2,-1,-6,2,2005,2004,Q2,5.1,,,2,,,2.9,3.6,,
04Q1,3,9,1,2001,2004,Q1,-9.3,-4.5,-15.9,0.7,2.2,4.6,1.2,2.4,,
04Q1,2,5,1,2002,2004,Q1,1.4,2.8,-3,0.1,-1.7,4.2,1,3.9,,
04Q1,1,1,1,2003,2004,Q1,-0.7,2.9,-10.7,2.2,1.9,4.3,2.3,3.1,,
04Q1,0,-3,1,2004,2004,Q1,8.2,3.6,24.5,2.1,1.8,4.2,2.8,2.7,,
04Q1,-1,-7,1,2005,2004,Q1,4,2.2,8.9,1.7,1.6,4.1,2.7,3.8,,
03Q4,3,12,4,2000,2003,Q4,3.1,6,-0.4,3.1,1.2,4.3,1.8,3.5,,
03Q4,2,8,4,2001,2003,Q4,-9.3,-4.5,-15.9,0.7,-0.3,4.6,1.2,2.3,,
03Q4,1,4,4,2002,2003,Q4,0.9,2.2,-4.3,0.2,-1.2,4.2,1,3.8,,
03Q4,0,0,4,2003,2003,Q4,-0.3,3.9,-13.5,2.3,4,3.8,1.7,3.4,,
03Q4,-1,-4,4,2004,2003,Q4,8.7,4,24,2,2.6,3.7,2.5,3.2,,
03Q3,3,11,3,2000,2003,Q3,3.1,6,-0.4,3.1,1.2,4.3,1.8,3.5,,
03Q3,2,7,3,2001,2003,Q3,-9.3,-4.5,-15.9,0.7,-0.3,4.6,1.2,2.3,,
03Q3,1,3,3,2002,2003,Q3,0.9,2.2,-4.3,0.2,-1.2,4.2,1,2.8,,
03Q3,0,-1,3,2003,2003,Q3,2,4.4,-18.6,2.3,3.2,3.8,1.6,3.6,,
03Q3,-1,-5,3,2004,2003,Q3,8.4,4.4,25.6,2,2.4,4,2.5,3.4,,
03Q2,3,10,2,2000,2003,Q2,3.1,6,-0.4,3.1,1.2,4.3,1.8,3.5,,
03Q2,2,6,2,2001,2003,Q2,-9.3,-4.5,-15.9,0.7,-0.3,4.6,1.2,2.3,,
03Q2,1,2,2,2002,2003,Q2,0.9,2.2,-4.3,0.2,-1.2,4.2,1,2.8,,
03Q2,0,-2,2,2003,2003,Q2,-1.3,1.6,-8.6,2.3,3.4,3.5,1.6,3.2,,
03Q2,-1,-6,2,2004,2003,Q2,9.8,4.8,25.5,2.2,2.3,3.6,2,2.5,,
02Q4,2,8,4,2000,2002,Q4,3.1,6,-0.4,3.1,,4.3,1.8,3.5,,
02Q4,1,4,4,2001,2002,Q4,-9.3,-4.5,-15.9,0.4,,4.6,1.2,2.3,,
02Q4,0,0,4,2002,2002,Q4,1.2,3.5,-4.4,-0.7,,4.3,1.6,2.4,,
02Q4,-1,-4,4,2003,2002,Q4,4.6,3,10.2,0.7,,4.3,2,2.3,,
02Q3,2,7,3,2000,2002,Q3,3.5,6.9,1.7,3.1,,4.3,1.8,2.3,,
02Q3,1,3,3,2001,2002,Q3,-9.1,-4.1,-18.8,0.4,,4.6,1.2,2.3,,
02Q3,0,-1,3,2002,2002,Q3,3,4.3,0.2,-0.3,,4.5,1,2.3,,
02Q3,-1,-5,3,2003,2002,Q3,6.4,3.5,12,1.9,,4.3,2.1,2.1,,
01Q4,2,8,4,1999,2001,Q4,2.2,,,0.7,,5.6,1,0.8,,
01Q4,1,4,4,2000,2001,Q4,3.5,,,3.1,,4.3,1.8,2.3,,
01Q4,0,0,4,2001,2001,Q4,-7.8,,,0.7,,4.6,1.5,1.5,,
01Q4,-1,-4,4,2002,2001,Q4,2,,,-0.9,,5.5,0.9,0.8,,
01Q4,-2,-8,4,2003,2001,Q4,7.4,,,1.8,,5.4,1.5,3.5,,
01Q2,2,6,2,1999,2001,Q2,2.2,,,0.7,0.4,,1,2.5,,
01Q2,1,2,2,2000,2001,Q2,3.5,,,3.1,1.8,,1.8,4.7,,
01Q2,0,-2,2,2001,2001,Q2,1.8,,,2.6,1.8,,2.4,2.5,,
01Q2,-1,-6,2,2002,2001,Q2,2.7,,,2.6,1.6,,2.8,3.1,,
00Q3,1,3,3,1999,2000,Q3,1.6,,,0.5,0.7,,1.1,2.4,,
00Q3,0,-1,3,2000,2000,Q3,4.9,,,2,2.7,,2.2,3.3,,
00Q3,-1,-5,3,2001,2000,Q3,4,,,2.2,2.1,,2.8,3,,
00Q2,2,6,2,1998,2000,Q2,-2,,,-0.1,0.2,,-0.3,2.7,,
00Q2,1,2,2,1999,2000,Q2,1.6,,,0.5,0.7,,1,2.2,,
00Q2,0,-2,2,2000,2000,Q2,4,,,1.1,1.4,,1.8,2.6,,
